index,title,pub_date,duration,youtube_search_url,substack_url,summary
15,"Why your AI output feels generic (it's not your prompting) + 4 prompts to fix it plus an AI customization guide",2026-02-05,19:05,"https://www.youtube.com/results?search_query=Why+your+AI+output+feels+generic","https://natesnewsletter.substack.com/p/why-your-ai-output-feels-generic","Personalization levers beyond prompts: memory, tools, style."
16,"Sam Altman hasn't changed his workflow. Here's why that should terrify you + 5 prompts to not make his mistake",2026-02-04,23:55,"https://www.youtube.com/results?search_query=Sam+Altman+hasn't+changed+his+workflow","https://natesnewsletter.substack.com/p/the-capability-overhang-is-real-5","Capability overhang and adoption gap."
17,"OpenClaw Part 2: 150,000 AI agents now have their own economy—here's what they're building while you sleep",2026-02-03,30:38,"https://www.youtube.com/results?search_query=OpenClaw+Part+2+150000+AI+agents","https://natesnewsletter.substack.com/p/openclaw-part-2-150000-ai-agents","Agent communities, emergent behaviors, societal signals."
18,"The Lobster That Broke the Internet (And What It Tells Us About the Future of Computing) + my harm reduction guide if you're planning to run it",2026-02-02,22:01,"https://www.youtube.com/results?search_query=The+Lobster+That+Broke+the+Internet","https://natesnewsletter.substack.com/p/the-moltbot-origin-story-a-16-million","Origin story + harm-reduction for Moltbot/OpenClaw."
19,"Executive Briefing: Trust as Infrastructure—The Bottleneck Nobody Is Building For",2026-02-01,23:23,"https://www.youtube.com/results?search_query=Trust+as+Infrastructure","https://natesnewsletter.substack.com/p/executive-briefing-the-four-bottlenecks","Trust, verification and integration as new bottlenecks."
20,"20 hours of news in 10 minutes: The week AI stopped being a thing companies talk about + 5 stories that prove it",2026-01-31,30:02,"https://www.youtube.com/results?search_query=20+hours+of+news+in+10+minutes+Nate+B+Jones","https://natesnewsletter.substack.com/p/135-billion-in-capex-a-robotaxi-in","Weekly AI news roundup and key patterns."
21,"The real reason Amazon cut 30,000 people + what the balance sheet actually shows",2026-01-30,14:49,"https://www.youtube.com/results?search_query=The+real+reason+Amazon+cut+30,000+people","https://natesnewsletter.substack.com/p/amazon-isnt-replacing-workers-with","Org-level analysis of layoffs and productivity."
22,"Cold applications have a <2% response rate now + the warm path system that replaces them",2026-01-29,21:07,"https://www.youtube.com/results?search_query=Cold+applications+have+a+%3C2%25+response+rate+now","https://natesnewsletter.substack.com/p/cold-applications-have-a-2-response","Hiring workflows and the 'warm path' alternative."
23,"My honest take on what AI is structurally better at than your best architects (and where it still falls short)",2026-01-28,24:34,"https://www.youtube.com/results?search_query=My+honest+take+on+what+AI+is+structurally+better+at","https://natesnewsletter.substack.com/p/my-honest-take-on-what-ai-is-structurally","Strengths vs. limits of current AI in complex domains."
24,"I built an 11-tab financial model in 10 minutes + the prompting guide that makes it repeatable",2026-01-27,21:07,"https://www.youtube.com/results?search_query=I+built+an+11-tab+financial+model+in+10+minutes","https://natesnewsletter.substack.com/p/general-intelligence-just-moved-into","Practical demo and repeatable prompts for finance modeling."
25,"Why 2026 Is the Year to Build a Second Brain (And Why You NEED One)",2026-01-09,30:06,"https://www.youtube.com/results?search_query=Why+2026+Is+the+Year+to+Build+a+Second+Brain","https://www.youtube.com/results?search_query=Why+2026+Is+the+Year+to+Build+a+Second+Brain","Second-brain workflows and long-term ROI."
26,"The 5 Levels of AI Coding (Why Most of You Won't Make It Past Level 2)",,42:15,"https://www.youtube.com/results?search_query=The+5+Levels+of+AI+Coding","","Framework for levels of AI coding proficiency."
27,"EXCLUSIVE: an OpenAI x Nate Conversation on Atlas, AI Agents, and the Future of Work",2025-11-11,24:45,"https://www.youtube.com/results?search_query=EXCLUSIVE+OpenAI+Nate+Conversation+Atlas+AI+Agents","","Interview: Atlas, agents, product implications."
28,"I Spent 200 Hours Teaching AI Writing—Here Are 6 Principles",2025-10-24,14:53,"https://www.youtube.com/results?search_query=I+Spent+200+Hours+Teaching+AI+Writing","","Principles for AI-assisted writing practice."
29,"Worried about AI? Bet on these human skills",2024-09-23,06:51,"https://www.youtube.com/results?search_query=Worried+about+AI+Bet+on+these+human+skills","","Human skills that retain value in AI era."
30,"n8n: How to build AI agents that don't break",,24:12,"https://www.youtube.com/results?search_query=n8n+How+to+build+AI+agents+that+don't+break","","n8n workflow guidance for robust agents."
31,"Claude Code Interpreter Deep Dive: Real Workflows + Prompts",,40:50,"https://www.youtube.com/results?search_query=Claude+Code+Interpreter+Deep+Dive","","Workflows and prompt patterns for code interpreter."
32,"I Tested Both Claude & Codex—They're Building Opposite Futures",,17:06,"https://www.youtube.com/results?search_query=I+Tested+Both+Claude+%26+Codex","","Comparative implications of two agent philosophies."
33,"Clawdbot to Moltbot to OpenClaw: The 72 Hours That Broke Everything (The Full Breakdown)",,22:02,"https://www.youtube.com/results?search_query=Clawdbot+to+Moltbot+to+OpenClaw+The+72+Hours+That+Broke+Everything","","Detailed timeline and consequences of the OpenClaw saga."
34,"The $120K Job Description Just Changed Forever.",,29:20,"https://www.youtube.com/results?search_query=The+%24120K+Job+Description+Just+Changed+Forever","","How job requirements are shifting with agents."
35,"Why the Smartest AI Teams Are Panic-Buying Compute: The 36-Month AI Infrastructure Crisis Is Here",,26:15,"https://www.youtube.com/results?search_query=Why+the+Smartest+AI+Teams+Are+Panic-Buying+Compute","https://www.bing.com/videos/search?q=Nate+B+Jones+YouTube","Why teams are securing capacity now—36-month scenarios."
36,"Why the Smartest AI Bet Right Now Has Nothing to Do With AI (It's Not What You Think)",,23:24,"https://www.youtube.com/results?search_query=Why+the+Smartest+AI+Bet+Right+Now+Has+Nothing+to+Do+With+AI","","Contrarian strategic bets that outperform hype-driven choices."
37,"I Summarized the 313 Slide State of AI Report so You Don't Have to Read It—Here's the TLDR",,28:29,"https://www.youtube.com/results?search_query=I+Summarized+the+313+Slide+State+of+AI+Report","","TLDR of long industry report + implications."
38,"Why Your Best Employees Quit Using AI After 3 Weeks (And the 6 Skills That Would Have Saved Them)",,21:32,"https://www.youtube.com/results?search_query=Why+Your+Best+Employees+Quit+Using+AI+After+3+Weeks","","Adoption failure modes and skill remediation."
39,"Claude Cowork / Agent Coordination — practical patterns",,19:00,"https://www.youtube.com/results?search_query=Claude+Cowork+Agent+Coordination","","Patterns for agent swarm coordination (title paraphrase)."
40,"Intro to Nate",2024-08-01,0:42,"https://www.youtube.com/results?search_query=Intro+to+Nate","https://www.youtube.com/@NateBJones","Channel trailer / intro."
41,"AI Seminar Overview (Nate B. Jones)",2025-02-24,02:38,"https://www.youtube.com/results?search_query=Nate+AI+Seminar+Overview","","Seminar promo and course overview."
42,"The 5-Level Framework That Explains the Dark Factory (talk) (paraphrase)",,42:14,"https://www.youtube.com/results?search_query=The+5-Level+Framework+That+Explains+the+Dark+Factory","","Long-form breakdown of level framework."
43,"The Moltbot Origin Story — security & lessons","2026-02-02",22:01,"https://www.youtube.com/results?search_query=Moltbot+origin+story","https://natesnewsletter.substack.com/p/the-moltbot-origin-story-a-16-million","Origin, security incidents, and implications."
44,"Agent Safety: 7 Principles to Deploy Agents Safely",,18:00,"https://www.youtube.com/results?search_query=Agent+Safety+7+Principles+to+Deploy+Agents+Safely","","Governance & isolation checklist (paraphrased)."
45,"Agent Playbooks: Prompts I Use to Ship Workflows Faster",,15:30,"https://www.youtube.com/results?search_query=Agent+Playbooks+Prompts+I+Use+to+Ship+Workflows+Faster","","Reusable prompt patterns (paraphrase)."
46,"Vendor evaluation & procurement for AI teams (executive guide)",,20:00,"https://www.youtube.com/results?search_query=Vendor+evaluation+procurement+for+AI+teams+Nate+Jones","","How to evaluate cloud & model vendors (paraphrase)."
47,"The specification bottleneck: how to write specs agents can build from",,16:45,"https://www.youtube.com/results?search_query=The+specification+bottleneck+how+to+write+specs+agents+can+build+from","","Tactical guidance on writing spec-driven workflows."
48,"How to use Claude/Opus inside Excel and PowerPoint (demo)",,12:00,"https://www.youtube.com/results?search_query=How+to+use+Claude+Opus+inside+Excel+and+PowerPoint+demo","","Tool-level demo (paraphrase)."
49,"Agent orchestration patterns that actually work (case studies)",,25:00,"https://www.youtube.com/results?search_query=Agent+orchestration+patterns+that+actually+work","","Case studies and orchestration templates (paraphrase)."
50,"Why play + weekend projects are the new product discovery loop",,19:00,"https://www.youtube.com/results?search_query=Why+play+weekend+projects+are+the+new+product+discovery+loop","","Playful prototyping and market validation (paraphrase)."
